Date,Open,High,Low,Close,Adj Close,Volume
2023-01-16,22.000000,22.000000,20.900000,20.900000,20.900000,126
2023-01-17,21.799999,21.900000,20.100000,21.000000,21.000000,1118
2023-01-18,20.100000,22.000000,20.100000,21.950001,21.950001,1641
2023-01-19,21.350000,21.750000,21.049999,21.750000,21.750000,641
2023-01-20,22.600000,22.600000,21.950001,22.000000,22.000000,374
2023-01-23,20.900000,22.950001,20.900000,21.450001,21.450001,1746
2023-01-24,21.049999,22.400000,21.049999,21.900000,21.900000,317
2023-01-25,22.850000,22.850000,20.900000,22.700001,22.700001,439
2023-01-27,21.750000,21.750000,21.700001,21.700001,21.700001,223
2023-01-30,22.000000,22.750000,20.650000,22.750000,22.750000,2458
2023-01-31,23.700001,23.850000,21.799999,23.850000,23.850000,410
2023-02-01,23.850000,25.000000,23.200001,25.000000,25.000000,1585
2023-02-02,25.500000,26.200001,23.750000,25.100000,25.100000,249
2023-02-03,24.350000,26.350000,24.200001,25.200001,25.200001,957
2023-02-06,26.000000,26.000000,24.299999,24.299999,24.299999,648
2023-02-07,24.000000,26.700001,24.000000,26.700001,26.700001,904
2023-02-08,29.350000,29.350000,26.299999,29.350000,29.350000,4027
2023-02-09,30.000000,32.250000,27.100000,31.950001,31.950001,2762
2023-02-10,31.950001,33.500000,30.400000,33.049999,33.049999,1060
2023-02-13,33.900002,34.700001,33.900002,34.650002,34.650002,3429
2023-02-14,36.349998,36.349998,35.049999,36.349998,36.349998,1176
2023-02-15,38.150002,38.150002,38.150002,38.150002,38.150002,897
2023-02-16,40.049999,40.049999,40.049999,40.049999,40.049999,2349
2023-02-17,42.049999,42.049999,41.900002,42.049999,42.049999,3057
2023-02-20,44.150002,44.150002,44.150002,44.150002,44.150002,1082
2023-02-21,46.349998,46.349998,46.349998,46.349998,46.349998,1855
2023-02-22,48.650002,48.650002,44.049999,47.650002,47.650002,17642
2023-02-23,48.599998,48.599998,45.299999,45.299999,45.299999,14164
2023-02-24,43.049999,43.049999,43.049999,43.049999,43.049999,64
2023-02-27,40.900002,40.900002,40.900002,40.900002,40.900002,16
2023-02-28,38.900002,38.900002,38.900002,38.900002,38.900002,22
2023-03-01,36.959999,36.959999,36.959999,36.959999,36.959999,552
2023-03-02,35.119999,38.799999,35.119999,38.799999,38.799999,14471
2023-03-03,40.740002,40.740002,36.860001,40.740002,40.740002,1547
2023-03-06,38.720001,40.740002,38.720001,38.720001,38.720001,377
2023-03-08,40.590000,40.590000,36.799999,36.799999,36.799999,386
2023-03-09,34.959999,34.959999,34.959999,34.959999,34.959999,106
2023-03-10,33.220001,34.959999,33.220001,33.220001,33.220001,547
2023-03-13,34.799999,34.799999,31.559999,31.559999,31.559999,2380
2023-03-14,29.990000,32.990002,29.990000,30.040001,30.040001,1477
2023-03-15,31.490000,31.490000,29.990000,29.990000,29.990000,61
2023-03-16,31.389999,31.389999,28.510000,30.990000,30.990000,2858
2023-03-17,30.990000,30.990000,30.980000,30.980000,30.980000,1293
2023-03-20,30.980000,32.490002,29.440001,29.440001,29.440001,3203
2023-03-21,29.440001,30.870001,28.000000,29.430000,29.430000,1878
2023-03-22,30.889999,30.889999,29.990000,29.990000,29.990000,304
2023-03-23,29.990000,31.000000,29.990000,30.990000,30.990000,1959
2023-03-24,30.990000,32.400002,29.459999,31.000000,31.000000,1648
2023-03-27,30.990000,31.000000,29.450001,30.980000,30.980000,314
2023-03-28,31.990000,31.990000,29.440001,30.990000,30.990000,43
2023-03-29,29.700001,29.700001,29.700001,29.700001,29.700001,97
2023-03-31,29.700001,29.700001,29.700001,29.700001,29.700001,10
2023-04-03,29.110001,29.110001,28.219999,29.110001,29.110001,403
2023-04-05,27.660000,27.660000,27.660000,27.660000,27.660000,30
2023-04-06,28.990000,28.990000,26.280001,27.660000,27.660000,252
2023-04-10,27.660000,28.990000,27.660000,28.940001,28.940001,710
2023-04-11,30.230000,30.230000,27.510000,28.990000,28.990000,177
2023-04-12,28.980000,28.980000,27.580000,28.930000,28.930000,218
2023-04-13,28.980000,28.980000,27.510000,27.510000,27.510000,31
2023-04-17,26.160000,27.990000,26.150000,27.990000,27.990000,997
2023-04-18,28.889999,28.889999,28.889999,28.889999,28.889999,31
2023-04-19,29.889999,30.320000,28.500000,29.410000,29.410000,1210
2023-04-20,30.320000,30.620001,29.580000,30.620001,30.620001,363
2023-04-21,30.000000,30.000000,29.110001,30.000000,30.000000,14
2023-04-24,29.299999,31.400000,28.500000,31.400000,31.400000,21598
2023-04-25,32.959999,32.970001,32.959999,32.970001,32.970001,1353
2023-04-26,34.610001,34.610001,34.610001,34.610001,34.610001,1035
2023-04-27,36.340000,36.340000,36.340000,36.340000,36.340000,214
2023-04-28,38.150002,38.150002,38.150002,38.150002,38.150002,810
2023-05-02,40.049999,40.049999,40.049999,40.049999,40.049999,630
2023-05-03,42.049999,42.049999,42.049999,42.049999,42.049999,405
2023-05-04,44.150002,44.150002,44.150002,44.150002,44.150002,482
2023-05-05,46.349998,46.349998,45.900002,46.349998,46.349998,4912
2023-05-08,48.500000,48.660000,48.450001,48.660000,48.660000,1073
2023-05-09,51.090000,51.090000,51.000000,51.090000,51.090000,1995
2023-05-10,53.639999,53.639999,53.639999,53.639999,53.639999,1046
2023-05-11,50.959999,50.959999,50.959999,50.959999,50.959999,853
2023-05-12,48.419998,48.419998,48.419998,48.419998,48.419998,117
2023-05-15,46.000000,46.000000,46.000000,46.000000,46.000000,1092
2023-05-16,43.700001,43.700001,43.700001,43.700001,43.700001,1733
2023-05-17,41.520000,41.520000,41.520000,41.520000,41.520000,42
2023-05-18,39.500000,39.500000,39.450001,39.450001,39.450001,1251
2023-05-19,37.480000,39.439999,37.480000,39.380001,39.380001,2328
2023-05-22,39.990002,39.990002,37.419998,37.419998,37.419998,1206
2023-05-23,35.549999,36.000000,35.549999,35.680000,35.680000,187
2023-05-24,34.000000,35.680000,34.000000,35.669998,35.669998,125
2023-05-25,36.560001,37.000000,35.650002,36.990002,36.990002,852
