Date,Open,High,Low,Close,Adj Close,Volume
2023-01-16,22.000000,22.600000,20.100000,22.000000,22.000000,3900
2023-01-23,20.900000,22.950001,20.900000,21.700001,21.700001,2725
2023-01-30,22.000000,26.350000,20.650000,25.200001,25.200001,5659
2023-02-06,26.000000,33.500000,24.000000,33.049999,33.049999,9401
2023-02-13,33.900002,42.049999,33.900002,42.049999,42.049999,10908
2023-02-20,44.150002,48.650002,43.049999,43.049999,43.049999,34807
2023-02-27,40.900002,40.900002,35.119999,40.740002,40.740002,16608
2023-03-06,38.720001,40.740002,33.220001,33.220001,33.220001,1416
2023-03-13,34.799999,34.799999,28.510000,30.980000,30.980000,8069
2023-03-20,30.980000,32.490002,28.000000,31.000000,31.000000,8992
2023-03-27,30.990000,31.990000,29.440001,29.700001,29.700001,464
2023-04-03,29.110001,29.110001,26.280001,27.660000,27.660000,685
2023-04-10,27.660000,30.230000,27.510000,27.510000,27.510000,1136
2023-04-17,26.160000,30.620001,26.150000,30.000000,30.000000,2615
2023-04-24,29.299999,38.150002,28.500000,38.150002,38.150002,25010
2023-05-01,40.049999,46.349998,40.049999,46.349998,46.349998,6429
2023-05-08,48.500000,53.639999,48.419998,48.419998,48.419998,5084
2023-05-15,46.000000,46.000000,37.480000,39.380001,39.380001,6446
2023-05-22,39.990002,39.990002,34.000000,38.790001,38.790001,2980
2023-05-29,37.000000,47.090000,36.860001,40.480000,40.480000,6869
2023-06-05,39.669998,46.529999,38.459999,41.980000,41.980000,10203
2023-06-12,40.009998,41.750000,36.959999,39.500000,39.500000,15858
2023-06-19,39.500000,41.470001,35.689999,38.000000,38.000000,9072
2023-06-26,39.900002,40.950001,37.110001,40.400002,40.400002,2505
2023-07-03,40.990002,41.000000,37.599998,39.049999,39.049999,3826
2023-07-10,39.990002,40.900002,37.060001,39.000000,39.000000,1857
2023-07-17,39.000000,39.000000,35.470001,37.009998,37.009998,4121
2023-07-24,37.009998,38.990002,33.730000,36.810001,36.810001,5555
2023-07-31,36.840000,36.840000,31.850000,34.480000,34.480000,5140
2023-08-07,33.790001,34.000000,30.700001,33.930000,33.930000,5185
2023-08-14,32.250000,34.990002,31.600000,34.470001,34.470001,2347
2023-08-21,34.470001,34.580002,31.500000,32.599998,32.599998,3727
2023-08-28,32.599998,33.000000,31.000000,32.970001,32.970001,3077
2023-09-04,31.350000,35.189999,31.350000,34.959999,34.959999,6172
2023-09-11,34.959999,35.990002,31.000000,33.000000,33.000000,4963
2023-09-18,33.599998,33.990002,31.500000,33.430000,33.430000,3137
2023-09-25,32.500000,33.599998,31.000000,33.340000,33.340000,2042
2023-10-02,33.490002,33.490002,30.620001,31.309999,31.309999,2143
2023-10-09,32.090000,35.150002,30.000000,34.580002,34.580002,12724
2023-10-16,35.000000,36.500000,31.219999,33.099998,33.099998,12536
2023-10-23,32.439999,37.150002,29.000000,33.990002,33.990002,12346
2023-10-30,34.000000,40.220001,32.750000,39.740002,39.740002,34500
2023-11-06,43.689999,52.090000,40.990002,52.090000,52.090000,47112
2023-11-13,55.310001,66.459999,55.310001,66.459999,66.459999,6263
2023-11-20,69.779999,80.760002,69.779999,76.730003,76.730003,39249
2023-11-27,76.730003,76.730003,70.790001,70.790001,70.790001,2057
2023-12-04,69.379997,69.379997,64.010002,64.010002,64.010002,1894
2023-12-11,62.730000,62.730000,57.880001,57.880001,57.880001,1603
2023-12-18,56.730000,56.730000,52.349998,52.349998,52.349998,1725
2023-12-25,51.310001,51.310001,48.310001,48.310001,48.310001,1709
2024-01-01,46.060001,61.630001,46.060001,61.630001,61.630001,21492
2024-01-08,64.709999,64.709999,52.500000,52.500000,52.500000,21475
2024-01-15,null,null,null,null,null,null
2024-01-15,53.439999,53.549999,53.439999,53.549999,53.549999,2405
